scenario,action,probability
[8♦] [5♦]|short,fold,0.2
[8♦] [5♦]|short,call_small,0.2
[8♦] [5♦]|short,raise_small,0.2
[8♦] [5♦]|short,raise_mid,0.2
[8♦] [5♦]|short,raise_high,0.2
[7♥] [K♣]|short,fold,0.2
[7♥] [K♣]|short,call_small,0.2
[7♥] [K♣]|short,raise_small,0.2
[7♥] [K♣]|short,raise_mid,0.2
[7♥] [K♣]|short,raise_high,0.2
[7♦] [3♦]|short,fold,0.2
[7♦] [3♦]|short,call_small,0.2
[7♦] [3♦]|short,raise_small,0.2
[7♦] [3♦]|short,raise_mid,0.2
[7♦] [3♦]|short,raise_high,0.2
[A♠] [J♣]|deep,fold,0.2
[A♠] [J♣]|deep,call_small,0.2
[A♠] [J♣]|deep,raise_small,0.2
[A♠] [J♣]|deep,raise_mid,0.2
[A♠] [J♣]|deep,raise_high,0.2
[3♣] [A♥]|deep,fold,0.2
[3♣] [A♥]|deep,call_small,0.2
[3♣] [A♥]|deep,raise_small,0.2
[3♣] [A♥]|deep,raise_mid,0.2
[3♣] [A♥]|deep,raise_high,0.2
[9♦] [A♥]|deep,fold,0.2
[9♦] [A♥]|deep,call_small,0.2
[9♦] [A♥]|deep,raise_small,0.2
[9♦] [A♥]|deep,raise_mid,0.2
[9♦] [A♥]|deep,raise_high,0.2
[4♦] [4♣]|medium,fold,0.2
[4♦] [4♣]|medium,call_small,0.2
[4♦] [4♣]|medium,raise_small,0.2
[4♦] [4♣]|medium,raise_mid,0.2
[4♦] [4♣]|medium,raise_high,0.2
[3♠] [9♥]|medium,fold,0.2
[3♠] [9♥]|medium,call_small,0.2
[3♠] [9♥]|medium,raise_small,0.2
[3♠] [9♥]|medium,raise_mid,0.2
[3♠] [9♥]|medium,raise_high,0.2
[J♠] [7♥]|medium,fold,0.2
[J♠] [7♥]|medium,call_small,0.2
[J♠] [7♥]|medium,raise_small,0.2
[J♠] [7♥]|medium,raise_mid,0.2
[J♠] [7♥]|medium,raise_high,0.2
[9♦] [7♥]|medium,fold,0.2
[9♦] [7♥]|medium,call_small,0.2
[9♦] [7♥]|medium,raise_small,0.2
[9♦] [7♥]|medium,raise_mid,0.2
[9♦] [7♥]|medium,raise_high,0.2
[8♥] [J♥]|short,fold,0.2
[8♥] [J♥]|short,call_small,0.2
[8♥] [J♥]|short,raise_small,0.2
[8♥] [J♥]|short,raise_mid,0.2
[8♥] [J♥]|short,raise_high,0.2
[8♦] [7♦]|deep,fold,0.2
[8♦] [7♦]|deep,call_small,0.2
[8♦] [7♦]|deep,raise_small,0.2
[8♦] [7♦]|deep,raise_mid,0.2
[8♦] [7♦]|deep,raise_high,0.2
[2♥] [9♣]|medium,fold,0.2
[2♥] [9♣]|medium,call_small,0.2
[2♥] [9♣]|medium,raise_small,0.2
[2♥] [9♣]|medium,raise_mid,0.2
[2♥] [9♣]|medium,raise_high,0.2
[9♥] [4♦]|medium,fold,0.2
[9♥] [4♦]|medium,call_small,0.2
[9♥] [4♦]|medium,raise_small,0.2
[9♥] [4♦]|medium,raise_mid,0.2
[9♥] [4♦]|medium,raise_high,0.2
[J♠] [T♠]|deep,fold,0.2
[J♠] [T♠]|deep,call_small,0.2
[J♠] [T♠]|deep,raise_small,0.2
[J♠] [T♠]|deep,raise_mid,0.2
[J♠] [T♠]|deep,raise_high,0.2
[9♣] [3♦]|short,fold,0.2
[9♣] [3♦]|short,call_small,0.2
[9♣] [3♦]|short,raise_small,0.2
[9♣] [3♦]|short,raise_mid,0.2
[9♣] [3♦]|short,raise_high,0.2
[3♠] [K♥]|deep,fold,0.2
[3♠] [K♥]|deep,call_small,0.2
[3♠] [K♥]|deep,raise_small,0.2
[3♠] [K♥]|deep,raise_mid,0.2
[3♠] [K♥]|deep,raise_high,0.2
[3♠] [A♣]|deep,fold,0.2
[3♠] [A♣]|deep,call_small,0.2
[3♠] [A♣]|deep,raise_small,0.2
[3♠] [A♣]|deep,raise_mid,0.2
[3♠] [A♣]|deep,raise_high,0.2
[7♣] [6♦]|deep,fold,0.2
[7♣] [6♦]|deep,call_small,0.2
[7♣] [6♦]|deep,raise_small,0.2
[7♣] [6♦]|deep,raise_mid,0.2
[7♣] [6♦]|deep,raise_high,0.2
[2♠] [4♣]|short,fold,0.2
[2♠] [4♣]|short,call_small,0.2
[2♠] [4♣]|short,raise_small,0.2
[2♠] [4♣]|short,raise_mid,0.2
[2♠] [4♣]|short,raise_high,0.2
[7♠] [J♦]|medium,fold,0.2
[7♠] [J♦]|medium,call_small,0.2
[7♠] [J♦]|medium,raise_small,0.2
[7♠] [J♦]|medium,raise_mid,0.2
[7♠] [J♦]|medium,raise_high,0.2
[4♠] [K♥]|medium,fold,0.2
[4♠] [K♥]|medium,call_small,0.2
[4♠] [K♥]|medium,raise_small,0.2
[4♠] [K♥]|medium,raise_mid,0.2
[4♠] [K♥]|medium,raise_high,0.2
[6♠] [A♦]|medium,fold,0.2
[6♠] [A♦]|medium,call_small,0.2
[6♠] [A♦]|medium,raise_small,0.2
[6♠] [A♦]|medium,raise_mid,0.2
[6♠] [A♦]|medium,raise_high,0.2
[7♠] [5♠]|short,fold,0.2
[7♠] [5♠]|short,call_small,0.2
[7♠] [5♠]|short,raise_small,0.2
[7♠] [5♠]|short,raise_mid,0.2
[7♠] [5♠]|short,raise_high,0.2
[6♦] [T♦]|medium,fold,0.2
[6♦] [T♦]|medium,call_small,0.2
[6♦] [T♦]|medium,raise_small,0.2
[6♦] [T♦]|medium,raise_mid,0.2
[6♦] [T♦]|medium,raise_high,0.2
[4♦] [Q♣]|short,fold,0.2
[4♦] [Q♣]|short,call_small,0.2
[4♦] [Q♣]|short,raise_small,0.2
[4♦] [Q♣]|short,raise_mid,0.2
[4♦] [Q♣]|short,raise_high,0.2
[3♥] [Q♦]|medium,fold,0.2
[3♥] [Q♦]|medium,call_small,0.2
[3♥] [Q♦]|medium,raise_small,0.2
[3♥] [Q♦]|medium,raise_mid,0.2
[3♥] [Q♦]|medium,raise_high,0.2
